"filename", "language", "JavaScript", "JSON", "wxml", "Less", "CSS", "comment", "blank", "total"
"e:\毕业设计相关\果帕雅微信小程序\.eslintrc.js", "JavaScript", 25, 0, 0, 0, 0, 6, 1, 32
"e:\毕业设计相关\果帕雅微信小程序\app.js", "JavaScript", 24, 0, 0, 0, 0, 6, 2, 32
"e:\毕业设计相关\果帕雅微信小程序\app.json", "JSON", 0, 103, 0, 0, 0, 0, 8, 111
"e:\毕业设计相关\果帕雅微信小程序\app.wxss", "CSS", 0, 0, 0, 0, 16, 3, 4, 23
"e:\毕业设计相关\果帕雅微信小程序\common\main.js", "JavaScript", 87, 0, 0, 0, 0, 28, 30, 145
"e:\毕业设计相关\果帕雅微信小程序\common\main.wxss", "CSS", 0, 0, 0, 0, 0, 1, 17, 18
"e:\毕业设计相关\果帕雅微信小程序\common\runtime.js", "JavaScript", 129, 0, 0, 0, 0, 27, 2, 158
"e:\毕业设计相关\果帕雅微信小程序\common\vendor.js", "JavaScript", 8025, 0, 0, 0, 0, 1237, 690, 9952
"e:\毕业设计相关\果帕雅微信小程序\components\Tabs\Tabs.js", "JavaScript", 16, 0, 0, 0, 0, 13, 4, 33
"e:\毕业设计相关\果帕雅微信小程序\components\Tabs\Tabs.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\components\Tabs\Tabs.wxml", "wxml", 0, 0, 16, 0, 0, 0, 3, 19
"e:\毕业设计相关\果帕雅微信小程序\components\Tabs\Tabs.wxss", "CSS", 0, 0, 0, 0, 16, 0, 1, 17
"e:\毕业设计相关\果帕雅微信小程序\components\UpImg\UpImg.js", "JavaScript", 12, 0, 0, 0, 0, 10, 5, 27
"e:\毕业设计相关\果帕雅微信小程序\components\UpImg\UpImg.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\components\UpImg\UpImg.wxml", "wxml", 0, 0, 9, 0, 0, 0, 4, 13
"e:\毕业设计相关\果帕雅微信小程序\components\UpImg\UpImg.wxss", "CSS", 0, 0, 0, 0, 15, 0, 0, 15
"e:\毕业设计相关\果帕雅微信小程序\components\find.js", "JavaScript", 8, 0, 0, 0, 0, 10, 6, 24
"e:\毕业设计相关\果帕雅微信小程序\components\find.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\components\find.less", "Less", 0, 0, 0, 37, 0, 0, 2, 39
"e:\毕业设计相关\果帕雅微信小程序\components\find.wxml", "wxml", 0, 0, 7, 0, 0, 0, 1, 8
"e:\毕业设计相关\果帕雅微信小程序\components\find.wxss", "CSS", 0, 0, 0, 0, 37, 0, 1, 38
"e:\毕业设计相关\果帕雅微信小程序\components\headerNav\headerNav.js", "JavaScript", 24, 0, 0, 0, 0, 10, 3, 37
"e:\毕业设计相关\果帕雅微信小程序\components\headerNav\headerNav.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\components\headerNav\headerNav.wxml", "wxml", 0, 0, 9, 0, 0, 0, 2, 11
"e:\毕业设计相关\果帕雅微信小程序\components\headerNav\headerNav.wxss", "CSS", 0, 0, 0, 0, 21, 2, 3, 26
"e:\毕业设计相关\果帕雅微信小程序\iconfont.json", "JSON", 0, 7, 0, 0, 0, 0, 1, 8
"e:\毕业设计相关\果帕雅微信小程序\iconfont\iconfont.js", "JavaScript", 55, 0, 0, 0, 0, 2, 7, 64
"e:\毕业设计相关\果帕雅微信小程序\iconfont\iconfont.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\iconfont\iconfont.wxml", "wxml", 0, 0, 45, 0, 0, 9, 10, 64
"e:\毕业设计相关\果帕雅微信小程序\iconfont\iconfont.wxss", "CSS", 0, 0, 0, 0, 3, 0, 1, 4
"e:\毕业设计相关\果帕雅微信小程序\lib\css\iconfont.wxss", "CSS", 0, 0, 0, 0, 42, 0, 11, 53
"e:\毕业设计相关\果帕雅微信小程序\lib\runtime\dayjs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\lib\runtime\runtime.js", "JavaScript", 471, 0, 0, 0, 0, 129, 110, 710
"e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\city.js", "JavaScript", 35, 0, 0, 0, 0, 6, 12, 53
"e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\config.default.js", "JavaScript", 3, 0, 0, 0, 0, 1, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\switchcity\switchcity.js", "JavaScript", 248, 0, 0, 0, 0, 41, 20, 309
"e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\switchcity\switchcity.json", "JSON", 0, 3, 0, 0, 0, 0, 1, 4
"e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\switchcity\switchcity.wxml", "wxml", 0, 0, 76, 0, 0, 0, 17, 93
"e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\switchcity\switchcity.wxss", "CSS", 0, 0, 0, 0, 156, 0, 26, 182
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\qqmap-wx-jssdk\index.js", "JavaScript", 12, 0, 0, 0, 0, 2, 0, 14
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\_commons\0.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\_commons\slideview.5abc910a.wxs", "JavaScript", 223, 0, 0, 0, 0, 21, 0, 244
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.wxml", "wxml", 0, 0, 12, 0, 0, 0, 1, 13
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\badge\badge.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\badge\badge.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\badge\badge.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\badge\badge.wxss", "CSS", 0, 0, 0, 0, 0, 0, 3, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cell\cell.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cell\cell.json", "JSON", 0, 6, 0, 0, 0, 0, 1, 7
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cell\cell.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cell\cell.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cells\cells.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cells\cells.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cells\cells.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cells\cells.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.json", "JSON", 0, 6, 0, 0, 0, 0, 1, 7
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.wxss", "CSS", 0, 0, 0, 0, 0, 0, 3, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox\checkbox.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox\checkbox.json", "JSON", 0, 7, 0, 0, 0, 0, 1, 8
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox\checkbox.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox\checkbox.wxss", "CSS", 0, 0, 0, 0, 0, 0, 3, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\dialog\dialog.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\dialog\dialog.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\dialog\dialog.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\dialog\dialog.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form-page\form-page.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form-page\form-page.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form-page\form-page.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form-page\form-page.wxss", "CSS", 0, 0, 0, 0, 0, 0, 3, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form\form.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form\form.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form\form.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\gallery\gallery.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\gallery\gallery.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\gallery\gallery.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\gallery\gallery.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\grids\grids.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\grids\grids.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\grids\grids.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\grids\grids.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\icon\icon.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\icon\icon.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\icon\icon.wxml", "wxml", 0, 0, 12, 0, 0, 0, 1, 13
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\icon\icon.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 2, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.wxss", "CSS", 0, 0, 0, 0, 2, 4, 3, 9
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.json", "JSON", 0, 7, 0, 0, 0, 0, 1, 8
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.json", "JSON", 0, 6, 0, 0, 0, 0, 1, 7
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.wxss", "CSS", 0, 0, 0, 0, 11, 0, 2, 13
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.json", "JSON", 0, 6, 0, 0, 0, 0, 1, 7
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.wxss", "CSS", 0, 0, 0, 0, 0, 0, 3, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\weui-wxss\dist\style\weui.wxss", "CSS", 0, 0, 0, 0, 2, 4, 3, 9
"e:\毕业设计相关\果帕雅微信小程序\package-lock.json", "JSON", 0, 525, 0, 0, 0, 0, 1, 526
"e:\毕业设计相关\果帕雅微信小程序\package.json", "JSON", 0, 21, 0, 0, 0, 0, 1, 22
"e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.js", "JavaScript", 458, 0, 0, 0, 0, 69, 2, 529
"e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 3
